0,title,speaker,Direct Download URL,File URL,category,keywords,year,IdeasLibraryDatabase (Title),Description,IdeasLibraryDatabase (Category),CategoryImages,Series,IdeasLibraryDatabase (Speaker(s)),Size,topten ,search_downloads,IdeasLibraryDatabase (Title)-1,IdeasLibraryDatabase (Category)-1,C,S,IdeasLibraryDatabase (Speaker(s))-1,Created date-1,Updated date-1,search downloads,ID,Created Date,Updated Date,Owner,filename,mp3_title,mp3_artist,mp3_album,status,,,,,,,cat title vs mp3 title
1,(Not) Growing Up With Wes Anderson,Danny Burbeck,https://drive.google.com/uc?export=download&id=1pD8p2f2KKIDGGyx0oufyAmH5DLGsRJp3,https://drive.google.com/file/d/1pD8p2f2KKIDGGyx0oufyAmH5DLGsRJp3/view?usp=sharing,Christianity and Film,"burbeck, movies, cinema, wes anderson",2015,/IdeasLibraryDatabase/(not)-growing-up-with-wes-anderson,,/Browse2/christianity-and-film,,,/ideaslibrarydatabase/danny-burbeck,22.33 MB,,3,/IdeasLibraryDatabase/(not)-growing-up-with-wes-anderson,/Browse2/christianity-and-film,,,/ideaslibrarydatabase/danny-burbeck,2019-08-03T13:03:43Z,2023-09-03T00:39:43Z,1,7b538084-8fac-4d2f-ae9b-161d347f582b,2025-03-27T01:42:34Z,2026-03-24T11:07:46Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,(Not) Growing Up With Wes Anderson - Danny Burbeck___0.mp3,(Not) Growing Up With Wes Anderson,Danny Burbeck,(Not) Growing Up With Wes Anderson,Strict Matched,1,,,,,,TRUE
2,20th Century American Novel (Part 1a),Francis Schaeffer,https://drive.google.com/uc?export=download&id=13lehPsISVHRBU_iaqF25xSBPp_NUQhaL,https://drive.google.com/file/d/13lehPsISVHRBU_iaqF25xSBPp_NUQhaL/view?usp=sharing,Literature and Poetry,"schaeffer, novel, literature",1111,/IdeasLibraryDatabase/20th-century-american-novel-(part-1a),,/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,13.97 MB,,,/IdeasLibraryDatabase/20th-century-american-novel-(part-1a),/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,2019-08-03T13:03:52Z,2024-07-28T18:21:18Z,2,f5dd4d3d-4696-4cd8-a024-07e2421ba683,2025-03-27T01:42:39Z,2026-05-09T04:40:36Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,20th Century American Novel (Part 1a) - Francis Schaeffer___7.mp3,20th Century American Novel (Part 1a),Francis Schaeffer,20th Century American Novel,Strict Matched,2,,,,,,TRUE
3,20th Century American Novel (Part 1b),Francis Schaeffer,https://drive.google.com/uc?export=download&id=1y0FQxoCSGvEhQnQE1H1EHy9iMProcn-h,https://drive.google.com/file/d/1y0FQxoCSGvEhQnQE1H1EHy9iMProcn-h/view?usp=sharing,Literature and Poetry,"schaeffer, history, novel, books, literature",1111,/IdeasLibraryDatabase/20th-century-american-novel-(part-1b),,/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,6.96 MB,,,/IdeasLibraryDatabase/20th-century-american-novel-(part-1b),/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,2019-08-03T13:03:52Z,2024-06-18T03:51:12Z,,b18eb67a-fa3d-4ae3-87c6-0505bdf8cb9b,2025-03-27T01:42:39Z,2026-05-09T04:40:31Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,20th Century American Novel (Part 1b) - Francis Schaeffer___8.mp3,20th Century American Novel (Part 1b),Francis Schaeffer,20th Century American Novel,Strict Matched,3,,,,,,TRUE
4,20th Century American Novel (Part 2a),Francis Schaeffer,https://drive.google.com/uc?export=download&id=1Jq_kFyCzRJmKS4Wxq3CSmUgL6sr5FV9r,https://drive.google.com/file/d/1Jq_kFyCzRJmKS4Wxq3CSmUgL6sr5FV9r/view?usp=sharing,Literature and Poetry,"schaeffer, novel, history",1111,/IdeasLibraryDatabase/20th-century-american-novel-(part-2a),,/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,13.63 MB,,,/IdeasLibraryDatabase/20th-century-american-novel-(part-2a),/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,2019-08-03T13:03:52Z,2024-07-22T13:57:33Z,,f2500bfb-20d6-46df-8233-563eb793d58c,2025-03-27T01:42:39Z,2026-05-09T04:39:55Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,20th Century American Novel (Part 2a) - Francis Schaeffer___9.mp3,20th Century American Novel (Part 2a),Francis Schaeffer,20th Century American Novel,Strict Matched,4,,,,,,TRUE
5,20th Century American Novel (Part 2b),Francis Schaeffer,https://drive.google.com/uc?export=download&id=1oK_4RuRtbsuUpOpUGgJ2y0T3X4Aal1aj,https://drive.google.com/file/d/1oK_4RuRtbsuUpOpUGgJ2y0T3X4Aal1aj/view?usp=sharing,Literature and Poetry,"schaeffer, novel, literature",1111,/IdeasLibraryDatabase/20th-century-american-novel-(part-2b),,/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,5.61 MB,,,/IdeasLibraryDatabase/20th-century-american-novel-(part-2b),/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,2019-08-03T13:03:52Z,2024-05-05T11:05:59Z,,b2c6260d-3f22-4221-9719-feaa95105c32,2025-03-27T01:42:39Z,2026-05-09T04:39:40Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,20th Century American Novel (Part 2b) - Francis Schaeffer___10.mp3,20th Century American Novel (Part 2b),Francis Schaeffer,20th Century American Novel,Strict Matched,5,,,,,,TRUE
6,20th Century American Novel (Part 3),Francis Schaeffer,https://drive.google.com/uc?export=download&id=1nrtq3K4XeoYh7nQCt45jTcKYicU5-DOa,https://drive.google.com/file/d/1nrtq3K4XeoYh7nQCt45jTcKYicU5-DOa/view?usp=sharing,Literature and Poetry,"schaeffer, novel, literature, history",1111,/IdeasLibraryDatabase/20th-century-american-novel-(part-3),,/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,18.29 MB,,,/IdeasLibraryDatabase/20th-century-american-novel-(part-3),/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/francis-schaeffer,2019-08-03T13:03:52Z,2024-07-07T19:58:50Z,,e1767cf4-bbf3-4f77-b5cd-59e5b27251f5,2025-03-27T01:42:39Z,2026-05-09T04:39:45Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,20th Century American Novel (Part 3) - Francis Schaeffer___11.mp3,20th Century American Novel (Part 3),Francis Schaeffer,20th Century American Novel,Strict Matched,6,,,,,,TRUE
7,A Brief History of Gospel Music,Ben Keyes,https://drive.google.com/uc?export=download&id=1C7ZATcVqKYyimX4zZiJRqduXZETvBiq-,https://drive.google.com/file/d/1C7ZATcVqKYyimX4zZiJRqduXZETvBiq-/view?usp=sharing,Christianity and Music: Popular music,"keyes, music",2008,/IdeasLibraryDatabase/a-brief-history-of-gospel-music,,/Browse2/christianity-and-music%3A-popular-music,,,/ideaslibrarydatabase/ben-keyes,36.22 MB,,,/IdeasLibraryDatabase/a-brief-history-of-gospel-music,/Browse2/christianity-and-music%3A-popular-music,,,/ideaslibrarydatabase/ben-keyes,2019-08-03T13:03:44Z,2024-06-02T16:01:58Z,,acbee231-1982-4404-af91-a6eaa1f17f1f,2025-03-27T01:42:34Z,2025-07-11T10:19:25Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,A Brief History of Gospel Music - Ben Keyes___28.mp3,A Brief History of Gospel Music,Ben Keyes,"A Brief History of Gospel Music, Part I",Strict Matched,7,,,,,,TRUE
8,A Child Is Born,Francis Schaeffer,https://drive.google.com/uc?export=download&id=1sGPuZlVPa21lmcz45ek4weSnNQ8MVX5Z,https://drive.google.com/file/d/1sGPuZlVPa21lmcz45ek4weSnNQ8MVX5Z/view?usp=sharing,Christian Spirituality and Growth,"schaeffer, child, baby",1111,/IdeasLibraryDatabase/a-child-is-born,,/Browse2/christian-spirituality-and-growth,,,/ideaslibrarydatabase/francis-schaeffer,11.01 MB,,,/IdeasLibraryDatabase/a-child-is-born,/Browse2/christian-spirituality-and-growth,,,/ideaslibrarydatabase/francis-schaeffer,2019-08-03T13:03:41Z,2024-05-27T10:17:11Z,1,b65dbed4-dcfd-47da-bcbd-35576ff6751c,2025-03-27T01:42:39Z,2026-05-09T04:38:20Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,A Child Is Born - Francis Schaeffer___30.mp3,A Child Is Born,Francis Schaeffer,A Child Is Born,Strict Matched,8,,,,,,TRUE
9,A Christian Philosophy of Literature,Donald Drew,https://drive.google.com/uc?export=download&id=1jyUSTHn0at7sV4M0SY3rG-yTPl20Gg8G,https://drive.google.com/file/d/1jyUSTHn0at7sV4M0SY3rG-yTPl20Gg8G/view?usp=sharing,Literature and Poetry,"drew, philosophy, literature, reading, books",1111,/IdeasLibraryDatabase/a-christian-philosophy-of-literature,,/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/donald-drew,20.54 MB,,1,/IdeasLibraryDatabase/a-christian-philosophy-of-literature,/Browse2/literature-and-poetry,,,/ideaslibrarydatabase/donald-drew,2019-08-03T13:03:52Z,2024-05-15T11:47:48Z,5,c33012d5-d8c8-4fd9-a5d0-fd89232e128b,2025-03-27T01:42:38Z,2025-09-19T23:01:17Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,A Christian Philosophy of Literature - Donald Drew___32.mp3,A Christian Philosophy of Literature,Donald Drew,A Christian Philosophy of Literature,Strict Matched,9,,,,,,TRUE
10,A Christian Response to Nietzsche,Richard Bradford,https://drive.google.com/uc?export=download&id=1hheqLXWxo6kqW4Sa2VCytTSs1CUVf7ST,https://drive.google.com/file/d/1hheqLXWxo6kqW4Sa2VCytTSs1CUVf7ST/view?usp=sharing,Philosophy,,1111,/IdeasLibraryDatabase/a-christian-response-to-nietzsche,,/Browse2/philosophy,,,/ideaslibrarydatabase/richard-bradford,16.09 MB,,1,/IdeasLibraryDatabase/a-christian-response-to-nietzsche,/Browse2/philosophy,,,/ideaslibrarydatabase/richard-bradford,2019-08-03T13:03:55Z,2023-12-18T05:02:51Z,21,33218f49-2b0a-4c40-aee2-7cada39b34a3,2025-03-27T01:42:50Z,2025-12-11T13:34:53Z,a51e98d1-c318-4958-ab05-2bc0b311ef6f,A Christian Response to Nietzsche - Richard Bradford___33.mp3,A Christian Response to Nietzsche,Richard Bradford,A Christian Response to Nietzsche,Strict Matched,10,,,,,,TRUE
